HOUSE_MANAGE_NO,HOUSE_TY,LTTOT_TOP_AMOUNT,MODEL_NO,PBLANC_NO,SPSPLY_HSHLDCO,SUPLY_AR,SUPLY_HSHLDCO
2024930023,084.9820A,37320,01,2024930023,4,111.0670,3
2024930023,084.7790B,36130,02,2024930023,1,110.1630,0
2024930023,084.8190C,35510,03,2024930023,1,109.8150,0
2024930022,084.8513B,79505,01,2024930022,1,109.8102,0
2024930021,084.7450D,80712,01,2024930021,1,110.3239,0
2024930021,084.6197E,78674,02,2024930021,0,111.1382,1
2024930020,132.4631B,69730,01,2024930020,0,164.1940,1
2024930019,059.9976A,59449,01,2024930019,1,80.9669,0
2024930018,060.9892A,66888,01,2024930018,1,88.6172,0
2024930017,084.9481B,66830,01,2024930017,0,108.5071,1
2024930016,042.2948A,64930,01,2024930016,0,65.7122,1
2024930014,084.6249A,36140,01,2024930014,1,112.4807,1
2024930014,084.9060B,35890,02,2024930014,2,113.0246,1
2024930014,084.9060C,35890,03,2024930014,0,113.0480,1
2024930013,084.9860A,44470,01,2024930013,1,112.8817,0
2024930012,084.9839D,44670,01,2024930012,0,113.8548,1
2024930012,107.9175 ,67740,02,2024930012,0,142.4796,1
2024930011,084.9804C,46180,01,2024930011,0,113.5361,2
2024930010,084.9124B,33120,01,2024930010,1,110.8373,0
2024930010,099.7950 ,42408,02,2024930010,0,127.8402,1
2024930009,059.8430A,26440,01,2024930009,1,82.2949,0
2024930008,084.9600C,34859,01,2024930008,1,112.8100,0
2024930007,084.9613A,40320,01,2024930007,0,109.5491,2
2024930006,084.9147A,46800,01,2024930006,1,109.1211,0
2024930006,084.5681B,45600,02,2024930006,1,109.1909,0
2024930003,084.8869B,49100,01,2024930003,1,110.9584,0
2024930002,059.8800B,45800,01,2024930002,1,82.6000,0
2024930002,074.6900A,57300,02,2024930002,1,101.2300,0
2024930002,084.9700 ,65200,03,2024930002,1,115.8400,0
2024930001,084.6367A,43400,01,2024930001,1,110.5836,2
2024910232,049.9644 ,37600,01,2024910232,0,,9
2024910232,059.9229A,43300,02,2024910232,0,,3
2024910232,074.8171A,49500,03,2024910232,0,,1
2024910231,016.7900A,28400,01,2024910231,0,,4
2024910231,016.9500D,28700,02,2024910231,0,,4
2024910231,017.0400A,28400,03,2024910231,0,,4
2024910231,017.3600B,26300,04,2024910231,0,,11
2024910231,017.0400D,29000,05,2024910231,0,,8
2024910231,027.3700C,39100,06,2024910231,0,,1
2024910230,059.9900A,80920,01,2024910230,0,,3
2024910230,075.4900 ,100440,02,2024910230,0,,2
2024910230,084.9400A,112100,03,2024910230,0,,7
2024910230,084.9000B,109730,04,2024910230,0,,1
2024910230,084.8700F,117170,05,2024910230,0,,2
2024910229,084.9050A,60300,01,2024910229,0,,20
