BSNS_MBY_NM,CNTRCT_CNCLS_BGNDE,CNTRCT_CNCLS_ENDDE,GNRL_RCEPT_BGNDE,GNRL_RCEPT_ENDDE,HMPG_ADRES,HOUSE_MANAGE_NO,HOUSE_NM,HOUSE_SECD,HOUSE_SECD_NM,HSSPLY_ADRES,HSSPLY_ZIP,MDHS_TELNO,MVN_PREARNGE_YM,PBLANC_NO,PBLANC_URL,PRZWNER_PRESNATN_DE,RCRIT_PBLANC_DE,SPSPLY_RCEPT_BGNDE,SPSPLY_RCEPT_ENDDE,SUBSCRPT_RCEPT_BGNDE,SUBSCRPT_RCEPT_ENDDE,TOT_SUPLY_HSHLDCO
(주)미연건설,2022-06-20,2022-06-20,,,,2022910162,광안 스윗팰리스,04,무순위/잔여세대,부산광역시 수영구 광안동 74-5번지 외 2필지,48266,0517597890,202206,2022910162,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2022910162&pblancNo=2022910162,2022-06-13,2022-06-03,,,2022-06-08,2022-06-08,66
(주)길성종합건설,2022-06-18,2022-06-18,,,http://www.원종길성그랑프리텔.kr,2022910163,부천 원종 길성그랑프리텔,04,무순위/잔여세대,"경기도 부천시 소사로748번길 29(원종동, 길성그랑프리텔)",14424,0326716788,202206,2022910163,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2022910163&pblancNo=2022910163,2022-06-10,2022-06-02,,,2022-06-07,2022-06-07,3
(주)부영주택,2022-06-17,2022-06-17,,,http://jinjeop.sarangeuro.co.kr,2022910157,남양주 진접 부영 사랑으로 우선 분양전환 후 잔여세대,04,무순위/잔여세대,경기도 남양주시 진접읍 해밀예당3로 38(부영사랑으로),12069,15775533,202206,2022910157,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2022910157&pblancNo=2022910157,2022-06-10,2022-05-30,,,2022-06-07,2022-06-07,63
삼호주공아파트주택재건축정비사업조합,2022-06-15,2022-06-15,,,http://www.dongwonapt.co.kr/samho/,2022910159,삼호 비스타동원,04,무순위/잔여세대,"울산광역시 남구 삼호로 68(무거동, 삼호주공아파트)",44640,0529225000,202403,2022910159,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2022910159&pblancNo=2022910159,2022-06-08,2022-05-27,,,2022-06-02,2022-06-02,1
(주)무궁화신탁,2022-06-15,2022-06-16,,,https://hanwha.forena.co.kr/mia,2022910158,한화 포레나 미아,04,무순위/잔여세대,서울특별시 강북구 솔샘로 265일대(미아동 705-1일원),01178,15332829,202511,2022910158,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2022910158&pblancNo=2022910158,2022-06-08,2022-05-27,,,2022-06-02,2022-06-02,139
신영부동산신탁 주식회사,2022-06-15,2022-06-15,,,http://www.송도센트럴파크리버리치.com,2022910152,송도 센트럴파크 리버리치,04,무순위/잔여세대,인천광역시 연수구 송도동 22-12 외 2필지,22003,0328510102,202310,2022910152,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2022910152&pblancNo=2022910152,2022-06-08,2022-05-27,,,2022-06-02,2022-06-02,14
골드에스비건설(주),2022-06-13,2022-06-13,,,http://br.goldclass.co.kr/,2022910155,광주 방림 골드클래스,04,무순위/잔여세대,광주광역시 남구 방림동 1-1번지 일원,61639,0622272278,202310,2022910155,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2022910155&pblancNo=2022910155,2022-06-03,2022-05-25,,,2022-05-30,2022-05-30,3
(주)무궁화신탁,2022-06-13,2022-06-13,,,http://지웰에스테이트개봉역.com,2022910154,신영지웰 에스테이트 개봉역,04,무순위/잔여세대,서울특별시 구로구 개봉동 171-2번지 일원,08277,15779997,202407,2022910154,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2022910154&pblancNo=2022910154,2022-06-03,2022-05-25,,,2022-05-30,2022-05-30,3
신림 스카이 아파트,2022-06-08,2022-06-08,,,,2022910144,신림스카이아파트,04,무순위/잔여세대,"서울특별시 관악구 신림로 185(신림동, 신림 스카이 아파트)",08845,028779273,202206,2022910144,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2022910144&pblancNo=2022910144,2022-06-03,2022-05-23,,,2022-05-30,2022-05-30,6
(주)무궁화신탁,2022-06-08,2022-06-08,,,http://hj2-goldclass.com,2022910151,광주 화정 골드클래스 2차,04,무순위/잔여세대,광주광역시 서구 화정동 23-191번지 일원,61938,0625277770,202501,2022910151,https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2022910151&pblancNo=2022910151,2022-05-30,2022-05-20,,,2022-05-25,2022-05-25,18
