CNTRCT_AR,EXCLUSE_AR,GNSPLY_HSHLDCO,GP,HOUSE_MANAGE_NO,MODEL_NO,PBLANC_NO,SPSPLY_AGED_HSHLDCO,SPSPLY_NEW_MRRG_HSHLDCO,SPSPLY_YGMN_HSHLDCO,SUBSCRPT_REQST_AMOUNT,SUPLY_AMOUNT,SUPLY_AR,SUPLY_HSHLDCO,TP
176.4707,83.3653,0,-,2024850010,03,2024850010,2,0,0,10,21200,109.2541,2,83B-3
148.3924,59.9860,0,-,2024850009,01,2024850009,0,1,0,30,45985,81.6244,1,59A-2
209.5720,84.9832,21,-,2024850009,02,2024850009,0,0,0,30,68732,114.9806,21,84A
209.5149,84.9638,2,-,2024850009,03,2024850009,0,0,0,30,66072,114.9452,2,84B
208.4470,84.9922,64,-,2024850009,04,2024850009,0,0,0,30,69397,113.8456,64,84C
209.0984,84.9754,1,-,2024850009,05,2024850009,0,0,0,30,66547,114.5158,1,84T
121.9784,59.9536,0,-,2024850008,01,2024850008,9,22,1,10,17900,83.6704,32,59A
123.2580,59.9960,0,-,2024850008,02,2024850008,5,42,2,10,17800,84.9230,49,59B
121.7906,59.9449,0,-,2024850008,03,2024850008,5,26,4,10,17700,83.4882,35,59C
148.3305,75.2470,0,-,2024850008,04,2024850008,4,1,0,10,21000,100.2506,5,75
162.8704,84.7229,0,-,2024850008,05,2024850008,3,0,3,10,22900,108.7358,6,84
148.3924,59.9860,0,-,2024850007,01,2024850007,0,2,0,30,45560,81.6244,2,59A-2
209.5720,84.9832,12,-,2024850007,02,2024850007,0,0,0,30,68732,114.9806,12,84A
208.4470,84.9922,25,-,2024850007,03,2024850007,0,0,0,30,69397,113.8456,25,84C
125.8679,65.9024,0,-,2024850006,01,2024850006,0,38,0,10,8900,86.0437,38,65A-1
142.7155,74.9331,38,-,2024850006,02,2024850006,0,0,0,10,14000,97.4342,38,74A
142.7155,74.9331,0,-,2024850006,03,2024850006,0,56,0,10,8900,97.4342,56,74A-1
142.9539,74.9719,0,-,2024850006,04,2024850006,0,19,0,10,8900,97.6491,19,74B-1
143.8095,74.9808,38,-,2024850006,05,2024850006,0,0,0,10,14000,98.4993,38,74C
161.4356,84.9976,223,-,2024850006,06,2024850006,0,0,0,10,14000,110.0723,223,84A
161.4356,84.9976,0,-,2024850006,07,2024850006,0,2,0,10,8900,110.0723,2,84A-1
161.9493,84.9740,93,-,2024850006,08,2024850006,0,0,0,10,14000,110.6003,93,84B
161.9493,84.9740,0,-,2024850006,09,2024850006,0,1,0,10,8900,110.6003,1,84B-1
161.8921,84.9414,131,-,2024850006,10,2024850006,0,0,0,10,14000,110.5628,131,84C
161.8921,84.9414,0,-,2024850006,11,2024850006,0,2,0,10,8900,110.5628,2,84C-1
161.3276,84.9293,14,-,2024850006,12,2024850006,0,0,0,10,14000,110.0056,14,84T
175.4238,83.0447,138,-,2024850005,01,2024850005,0,0,0,10,22000,108.4658,138,83A
175.4238,83.0447,0,-,2024850005,02,2024850005,0,0,7,10,21200,108.4658,7,83A-1
175.4238,83.0447,0,-,2024850005,03,2024850005,0,21,0,10,21200,108.4658,21,83A-2
175.4238,83.0447,0,-,2024850005,04,2024850005,6,0,0,10,21200,108.4658,6,83A-3
176.4707,83.3653,56,-,2024850005,05,2024850005,0,0,0,10,22000,109.2541,56,83B
176.4707,83.3653,0,-,2024850005,06,2024850005,0,0,3,10,21200,109.2541,3,83B-1
176.4707,83.3653,0,-,2024850005,07,2024850005,0,8,0,10,21200,109.2541,8,83B-2
176.4707,83.3653,0,-,2024850005,08,2024850005,4,0,0,10,21200,109.2541,4,83B-3
121.9784,59.9536,0,-,2024850004,01,2024850004,9,25,0,10,17900,83.6704,34,59A
123.2580,59.9960,0,-,2024850004,02,2024850004,5,43,0,10,17800,84.9230,48,59B
121.7906,59.9449,0,-,2024850004,03,2024850004,5,26,15,10,17700,83.4882,46,59C
148.3305,75.2470,0,-,2024850004,04,2024850004,4,3,1,10,21000,100.2506,8,75
148.3305,75.2470,1,-,2024850004,05,2024850004,0,0,0,10,21000,100.2506,1,75-1
162.8704,84.7229,0,-,2024850004,06,2024850004,3,1,2,10,22900,108.7358,6,84
172.9348,84.9352,230,-,2024850003,01,2024850003,0,0,0,10,17500,112.7528,230,84A
172.9348,84.9352,0,-,2024850003,02,2024850003,0,47,0,10,15000,112.7528,47,84A-1
172.9662,84.9637,13,-,2024850003,03,2024850003,0,0,0,10,17500,112.7640,13,84B
172.9662,84.9637,0,-,2024850003,04,2024850003,0,34,0,10,15000,112.7640,34,84B-1
148.3924,59.9860,0,-,2024850002,01,2024850002,2,2,0,30,46410,81.6244,4,59A-2
149.3581,59.9884,0,-,2024850002,02,2024850002,1,0,1,30,43350,82.5875,2,59B-2
209.5720,84.9832,12,-,2024850002,03,2024850002,0,0,0,30,68732,114.9806,12,84A
208.4470,84.9922,29,-,2024850002,04,2024850002,0,0,0,30,75050,113.8456,29,84C
121.9784,59.9536,0,-,2024850001,01,2024850001,10,31,2,10,17900,83.6704,43,59A
123.2580,59.9960,0,-,2024850001,02,2024850001,5,42,12,10,17800,84.9230,59,59B
121.7906,59.9449,0,-,2024850001,03,2024850001,5,27,19,10,17700,83.4882,51,59C
148.3305,75.2470,0,-,2024850001,04,2024850001,4,1,0,10,21000,100.2506,5,75
148.3305,75.2470,1,-,2024850001,05,2024850001,0,0,0,10,21000,100.2506,1,75-1
162.8704,84.7229,0,-,2024850001,06,2024850001,3,0,1,10,22900,108.7358,4,84
148.3924,59.9860,0,-,2023850033,01,2023850033,2,1,0,30,45985,81.6244,3,59A-2
149.3581,59.9884,0,-,2023850033,02,2023850033,1,0,1,30,43350,82.5875,2,59B-2
187.3454,75.9614,2,-,2023850033,03,2023850033,0,0,0,30,61940,102.7959,2,75
209.5720,84.9832,29,-,2023850033,04,2023850033,0,0,0,30,77377,114.9806,29,84A
