BSNS_MBY_NM	CNSTRCT_ENTRPS_NM	CNTRCT_CNCLS_BGNDE	CNTRCT_CNCLS_ENDDE	GNRL_RNK1_CRSPAREA_ENDDE	GNRL_RNK1_CRSPAREA_RCPTDE	GNRL_RNK1_ETC_AREA_ENDDE	GNRL_RNK1_ETC_AREA_RCPTDE	GNRL_RNK1_ETC_GG_ENDDE	GNRL_RNK1_ETC_GG_RCPTDE	GNRL_RNK2_CRSPAREA_ENDDE	GNRL_RNK2_CRSPAREA_RCPTDE	GNRL_RNK2_ETC_AREA_ENDDE	GNRL_RNK2_ETC_AREA_RCPTDE	GNRL_RNK2_ETC_GG_ENDDE	GNRL_RNK2_ETC_GG_RCPTDE	HMPG_ADRES	HOUSE_DTL_SECD	HOUSE_DTL_SECD_NM	HOUSE_MANAGE_NO	HOUSE_NM	HOUSE_SECD	HOUSE_SECD_NM	HSSPLY_ADRES	HSSPLY_ZIP	IMPRMN_BSNS_AT	LRSCL_BLDLND_AT	MDAT_TRGET_AREA_SECD	MDHS_TELNO	MVN_PREARNGE_YM	NPLN_PRVOPR_PUBLIC_HOUSE_AT	PARCPRC_ULS_AT	PBLANC_NO	PBLANC_URL	PRZWNER_PRESNATN_DE	PUBLIC_HOUSE_EARTH_AT	PUBLIC_HOUSE_SPCLW_APPLC_AT	RCEPT_BGNDE	RCEPT_ENDDE	RCRIT_PBLANC_DE	RENT_SECD	RENT_SECD_NM	SPECLT_RDN_EARTH_AT	SPSPLY_RCEPT_BGNDE	SPSPLY_RCEPT_ENDDE	SUBSCRPT_AREA_CODE	SUBSCRPT_AREA_CODE_NM	TOT_SUPLY_HSHLDCO	SEARCH_HOUSE_SECD	SUBSCRPT_RCEPT_BGNDE	SUBSCRPT_RCEPT_ENDDE	GNRL_RCEPT_BGNDE	GNRL_RCEPT_ENDDE	HOUSE_DETAIL_SECD	HOUSE_DETAIL_SECD_NM
홍은제13구역주택재개발정비사업조합		2025-01-11	2025-01-11													https://www.i-park.com/seodaemun			2024910230	서대문 센트럴 아이파크(임의공급 8차)	4	무순위/잔여세대	서울특별시 서대문구 홍은동 11-111번지 일원	3602				15519217	202506			2024910230	https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2024910230&pblancNo=2024910230	2025-01-10					2025-01-02								15		2025-01-07	2025-01-07				
홍은제13구역주택재개발정비사업조합		2025-01-11	2025-01-11													https://www.i-park.com/seodaemun			2024910230	서대문 센트럴 아이파크(임의공급 8차)	4	무순위/잔여세대	서울특별시 서대문구 홍은동 11-111번지 일원	3602				15519217	202506			2024910230	https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2024910230&pblancNo=2024910230	2025-01-10					2025-01-02								15		2025-01-07	2025-01-07				
																																																						
																																																						
																																																						
																																																						
																																																						
BSNS_MBY_NM	PBLANC_URL	공급금액(최고가 기준)																																																				
한국토지주택공사 경기남부지역본부	https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2024820019&pblancNo=2024820019	62674																																																				
한국자산신탁(주)	https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2024000715&pblancNo=2024000715																																																					
한국토지주택공사 경기남부지역본부	https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2024820018&pblancNo=2024820018																																																					
강화지역주택조합	https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2024000661&pblancNo=2024000661																																																					
디아이건설주식회사	https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2024000704&pblancNo=2024000704																																																					
광문개발(주)	https://www.applyhome.co.kr/ai/aia/selectAPTLttotPblancDetail.do?houseManageNo=2024000726&pblancNo=2024000726																																																					
교보자산신탁(주)	https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024950095&pblancNo=2024950095&houseSecd=02																																																					
(주)무궁화신탁	https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024950094&pblancNo=2024950094&houseSecd=02																																																					
(주)무궁화신탁	https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024950094&pblancNo=2024950094&houseSecd=02																																																					
교보자산신탁(주)	https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024950095&pblancNo=2024950095&houseSecd=02																																																					
홍은제13구역주택재개발정비사업조합	https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2024910230&pblancNo=2024910230																																																					
홍은제13구역주택재개발정비사업조합	https://www.applyhome.co.kr/ai/aia/selectAPTRemndrLttotPblancDetailView.do?houseManageNo=2024910230&pblancNo=2024910230																																																					
