BSNS_MBY_NM,CNTRCT_CNCLS_BGNDE,CNTRCT_CNCLS_ENDDE,HMPG_ADRES,HOUSE_DTL_SECD,HOUSE_DTL_SECD_NM,HOUSE_MANAGE_NO,HOUSE_NM,HOUSE_SECD,HOUSE_SECD_NM,HSSPLY_ADRES,HSSPLY_ZIP,MDHS_TELNO,MVN_PREARNGE_YM,PBLANC_NO,PBLANC_URL,PRZWNER_PRESNATN_DE,RCRIT_PBLANC_DE,SEARCH_HOUSE_SECD,SUBSCRPT_RCEPT_BGNDE,SUBSCRPT_RCEPT_ENDDE,TOT_SUPLY_HSHLDCO
호원초등학교주변지구 주택재개발정비사업조합,2024-12-12,2024-12-13,http://seokmico.15440835.com/adena/res/home.php?go=sale.list&mid=10,03,민간임대,2024950089,평촌 어바인퍼스트 더샵,02,도시형/오피스텔/생활숙박시설/민간임대,경기도 안양시 동안구 호계동 956번지 일원,14116,15662706,202412,2024950089,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024950089&pblancNo=2024950089&houseSecd=02,2024-12-09,2024-11-28,0203,2024-12-03,2024-12-04,36
인천여상주변재개발정비사업조합,2025-01-02,2025-01-04,https://www.dlcon-apt.co.kr/danji/240006/index.html#/sales/,02,오피스텔,2024950083,e편한세상 동인천 베이프런트 오피스텔,02,도시형/오피스텔/생활숙박시설/민간임대,인천광역시 중구 사동 23-4번지 일원,22323,0327770579,202804,2024950083,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024950083&pblancNo=2024950083&houseSecd=02,2024-12-26,2024-11-28,0202,2024-12-18,2024-12-18,88
주식회사 더채움개발,2024-12-07,2024-12-13,https://www.더채움.net,02,오피스텔,2024950087,당산역 한강 더채움,02,도시형/오피스텔/생활숙박시설/민간임대,"서울특별시 영등포구 당산동 6가 280-1 ,9번지",07223,16681252,202412,2024950087,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024950087&pblancNo=2024950087&houseSecd=02,2024-12-06,2024-11-27,0202,2024-12-02,2024-12-03,4
코리아신탁(주),2024-12-12,2024-12-15,http://www.여의도하이앤드1ST.com,02,오피스텔,2024950084,여의도 하이앤드 1ST,02,도시형/오피스텔/생활숙박시설/민간임대,서울특별시 영등포구 영등포동3가 1-1일원,07303,16685995,202502,2024950084,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024950084&pblancNo=2024950084&houseSecd=02,2024-12-11,2024-11-27,0202,2024-12-02,2024-12-06,20
(주)무궁화신탁,2024-12-06,2024-12-06,https://xi.co.kr/pangyo-office,02,오피스텔,2024950086,판교밸리자이 1단지 오피스텔,02,도시형/오피스텔/생활숙박시설/민간임대,경기도 성남시 수정구 대왕판교로 995 (성남고등 공공주택지구 주상복합 C-1BL),13105,15338178,202502,2024950086,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024950086&pblancNo=2024950086&houseSecd=02,2024-12-03,2024-11-22,0202,2024-11-27,2024-11-27,5
주식회사 유림아이앤디,2024-12-06,2024-12-06,,01,도시형생활주택,2024950085,논현 펜트힐 캐스케이드,02,도시형/오피스텔/생활숙박시설/민간임대,서울특별시 강남구 논현동 106,06058,15339220,202412,2024950085,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024950085&pblancNo=2024950085&houseSecd=02,2024-12-04,2024-11-19,0201,2024-11-29,2024-11-29,3
대방건설 주식회사,2024-11-25,2024-11-25,http://www.detre-ep.co.kr/,03,공공지원민간임대,2024850023,서울은평뉴타운 디에트르 더 퍼스트,03,공공지원민간임대,서울특별시 은평구 진관동 149-4 일원 (은평뉴타운 3-14BL),03302,0319757988,202506,2024850023,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024850023&pblancNo=2024850023&houseSecd=03,2024-11-22,2024-11-13,0303,2024-11-18,2024-11-19,3
주식회사 청주테크노폴리스에스쓰리피에프브이,2024-11-28,2024-11-28,https://청주테크노폴리스힐데스하임더원.com,02,오피스텔,2024950079,청주테크노폴리스 힐데스하임 더원,02,도시형/오피스텔/생활숙박시설/민간임대,충청북도 청주시 흥덕구 문암동 산28-3번지 일원(청주테크노폴리스 S3블록),28291,0432520555,202801,2024950079,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024950079&pblancNo=2024950079&houseSecd=02,2024-11-26,2024-11-08,0202,2024-11-20,2024-11-20,84
원당4구역주택재개발정비사업조합,2024-11-19,2024-11-20,http://www.seokmi.co.kr,03,민간임대,2024950081,원당역 롯데캐슬 스카이엘,02,도시형/오피스텔/생활숙박시설/민간임대,경기도 고양시 덕양구 성사동 405-8번지 일원,10463,15665706,202411,2024950081,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024950081&pblancNo=2024950081&houseSecd=02,2024-11-15,2024-11-07,0203,2024-11-12,2024-11-12,19
(주)한원그룹,2024-11-25,2024-11-25,http://www.hanwon.co/imun,01,도시형생활주택,2024950082,이문 월드메르디앙 힐트리움 더테라스,02,도시형/오피스텔/생활숙박시설/민간임대,"서울특별시 동대문구 이문동 348-11, 348-12",02451,029955949,202412,2024950082,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2024950082&pblancNo=2024950082&houseSecd=02,2024-11-21,2024-11-06,0201,2024-11-18,2024-11-18,4
