BSNS_MBY_NM,CNTRCT_CNCLS_BGNDE,CNTRCT_CNCLS_ENDDE,HMPG_ADRES,HOUSE_DTL_SECD,HOUSE_DTL_SECD_NM,HOUSE_MANAGE_NO,HOUSE_NM,HOUSE_SECD,HOUSE_SECD_NM,HSSPLY_ADRES,HSSPLY_ZIP,MDHS_TELNO,MVN_PREARNGE_YM,PBLANC_NO,PBLANC_URL,PRZWNER_PRESNATN_DE,RCRIT_PBLANC_DE,SEARCH_HOUSE_SECD,SUBSCRPT_RCEPT_BGNDE,SUBSCRPT_RCEPT_ENDDE,TOT_SUPLY_HSHLDCO
르피에드둔산피에프브이 주식회사,2023-04-14,2023-04-14,https://grand-lepied.co.kr,02,오피스텔,2023950014,그랑 르피에드,02,도시형/오피스텔/생활숙박시설/민간임대,"대전광역시 서구 둔산동 1380-2번지, 1380-5번지(2필지) 일원",35236,18119900,202805,2023950014,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2023950014&pblancNo=2023950014&houseSecd=02,2023-04-13,2023-04-05,0202,2023-04-10,2023-04-10,832
인천 신흥동3가 지역주택조합,2023-04-19,2023-04-23,https://숭의역엘크루.com,02,오피스텔,2023950020,인천 신흥동3가 숭의역 엘크루,02,도시형/오피스텔/생활숙박시설/민간임대,인천광역시 중구 신흥동3가 7-79 외 25필지,22330,15996385,202504,2023950020,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2023950020&pblancNo=2023950020&houseSecd=02,2023-04-17,2023-04-04,0202,2023-04-10,2023-04-12,161
신한자산신탁 주식회사,2023-04-21,2023-04-22,http://w컨템포287.com,01,도시형생활주택,2023950017,서울 우남 w컨템포287 도시형생활주택,02,도시형/오피스텔/생활숙박시설/민간임대,서울특별시 금천구 시흥동 113-16,08609,15337900,202409,2023950017,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2023950017&pblancNo=2023950017&houseSecd=02,2023-04-20,2023-03-31,0201,2023-04-17,2023-04-17,30
신한자산신탁 주식회사,2023-04-14,2023-04-15,http://w컨템포287.com,02,오피스텔,2023950016,서울 우남 w컨템포287 오피스텔,02,도시형/오피스텔/생활숙박시설/민간임대,서울특별시 금천구 시흥동 113-16,08609,15337900,202409,2023950016,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2023950016&pblancNo=2023950016&houseSecd=02,2023-04-13,2023-03-31,0202,2023-04-10,2023-04-10,14
산곡4구역재개발정비사업조합,2023-04-10,2023-04-12,,03,민간임대,2023950015,부평 두산위브더파크,02,도시형/오피스텔/생활숙박시설/민간임대,인천광역시 부평구 산곡동 52-11,21307,0325028883,202304,2023950015,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2023950015&pblancNo=2023950015&houseSecd=02,2023-04-06,2023-03-28,0203,2023-04-03,2023-04-03,23
인창씨구역주택재개발정비사업조합,2023-04-03,2023-04-04,http://구리역롯데캐슬더센트럴.com,02,오피스텔,2023950008,구리역 롯데캐슬 더 센트럴,02,도시형/오피스텔/생활숙박시설/민간임대,경기도 구리시 인창동 280-3,11926,15333477,202603,2023950008,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2023950008&pblancNo=2023950008&houseSecd=02,2023-03-31,2023-03-23,0202,2023-03-28,2023-03-28,235
대방건설(주),2023-03-30,2023-03-30,http://www.detre-ep.co.kr,03,공공지원민간임대,2023850004,서울은평뉴타운 디에트르 더 퍼스트,03,공공지원민간임대,서울특별시 은평구 진관동 149-4 일원(은평뉴타운 3-14BL),03308,16883800,202506,2023850004,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2023850004&pblancNo=2023850004&houseSecd=03,2023-03-28,2023-03-17,0303,2023-03-22,2023-03-23,80
계수범박구역주택재개발정비사업조합,2023-03-27,2023-03-29,http://www.illumistate.co.kr,03,민간임대,2023950013,부천 일루미스테이트,02,도시형/오피스텔/생활숙박시설/민간임대,경기도 부천시 범안로 180(계수동),14775,15660921,202303,2023950013,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2023950013&pblancNo=2023950013&houseSecd=02,2023-03-24,2023-03-15,0203,2023-03-20,2023-03-21,170
창원뉴스테이 주식회사,2023-03-27,2023-03-28,http://www.ssgreencore2.com,03,공공지원민간임대,2023850003,성산 삼정그린코아 웰레스트,03,공공지원민간임대,경상남도 창원시 성산구 안민동 614-2번지 일원(창원안민 공공지원 민간임대주택 공급촉진지구),51550,15668728,202502,2023850003,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2023850003&pblancNo=2023850003&houseSecd=03,2023-03-23,2023-03-15,0303,2023-03-20,2023-03-20,327
반여1의1구역주택재개발정비사업조합,2023-03-27,2023-03-28,,03,민간임대,2023950012,부산 반여 센텀KCC스위첸,02,도시형/오피스텔/생활숙박시설/민간임대,부산광역시 해운대구 반여로 42 일원 반여 센텀KCC스위첸,48042,0515221957,202304,2023950012,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2023950012&pblancNo=2023950012&houseSecd=02,2023-03-24,2023-03-13,0203,2023-03-20,2023-03-21,18
(주)대한제22호평택고평위탁관리부동산투자회사,2023-04-03,2023-04-14,,03,공공지원민간임대,2023850002,평택역 SK View,03,공공지원민간임대,"경기도 평택시 고평로 50(통복동, 평택역 SK VIEW)",17920,025280527,202304,2023850002,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2023850002&pblancNo=2023850002&houseSecd=03,2023-03-10,2023-02-28,0303,2023-03-06,2023-03-07,93
목동3 재정비촉진구역주택재개발정비사업조합,2023-03-08,2023-03-13,,03,민간임대,2023950011,목동 더샵 리슈빌 민간임대주택,02,도시형/오피스텔/생활숙박시설/민간임대,"대전광역시 중구 목동 1-95, 101동(목동 더샵 리슈빌)",34847,0422232727,202303,2023950011,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2023950011&pblancNo=2023950011&houseSecd=02,2023-03-03,2023-02-21,0203,2023-02-27,2023-02-27,30
산곡2의1 주택재개발정비사업조합,2023-03-03,2023-03-05,http://www.goshinil.co.kr,03,민간임대,2023950009,부평 신일해피트리 더루츠(민간임대),02,도시형/오피스텔/생활숙박시설/민간임대,"인천광역시 부평구 산곡로 31(산곡동, 부평신일해피트리더루츠)",21367,15775163,202303,2023950009,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2023950009&pblancNo=2023950009&houseSecd=02,2023-03-02,2023-02-17,0203,2023-02-22,2023-02-24,15
우리자산신탁 주식회사,2023-02-24,2023-02-24,https://www.gdsk.co.kr/web/,02,오피스텔,2023950010,강동역 SK Leaders VIEW,02,도시형/오피스텔/생활숙박시설/민간임대,서울특별시 강동구 길동 415-9번지,05354,15333111,202608,2023950010,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2023950010&pblancNo=2023950010&houseSecd=02,2023-02-23,2023-02-15,0202,2023-02-20,2023-02-20,378
코리아신탁(주),2023-03-03,2023-03-06,http://richehill-ara.com,01,도시형생활주택,2023950007,리체힐 아라 1단지 도시형생활주택,02,도시형/오피스텔/생활숙박시설/민간임대,제주특별자치도 제주시 아라이동 822,63249,0234302000,202304,2023950007,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2023950007&pblancNo=2023950007&houseSecd=02,2023-03-02,2023-02-13,0201,2023-02-23,2023-02-24,36
우리자산신탁 주식회사,2023-02-22,2023-02-23,http://세운블록임대주택.kr,03,민간임대,2023950005,힐스테이트 세운 센트럴 2단지(민간임대),02,도시형/오피스텔/생활숙박시설/민간임대,서울특별시 중구 입정동 2-4번지 일원,04544,027988910,202303,2023950005,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2023950005&pblancNo=2023950005&houseSecd=02,2023-02-21,2023-02-10,0203,2023-02-15,2023-02-16,61
우리자산신탁 주식회사,2023-02-22,2023-02-23,http://세운블록임대주택.kr,03,민간임대,2023950004,힐스테이트 세운 센트럴 1단지(민간임대),02,도시형/오피스텔/생활숙박시설/민간임대,서울시 중구 입정동 189-1번지,04544,027988910,202303,2023950004,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2023950004&pblancNo=2023950004&houseSecd=02,2023-02-21,2023-02-10,0203,2023-02-15,2023-02-16,38
우리자산신탁 주식회사,2023-02-21,2023-02-22,http://세운블록임대주택.kr,03,민간임대,2023950006,세운 푸르지오 헤리시티(민간임대),02,도시형/오피스텔/생활숙박시설/민간임대,서울특별시 중구 인현동 2가 151-1번지 일원,04548,027988910,202303,2023950006,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2023950006&pblancNo=2023950006&houseSecd=02,2023-02-20,2023-02-09,0203,2023-02-14,2023-02-15,40
창원뉴스테이 주식회사,2023-02-24,2023-02-26,http://www.ssgreencore2.com,03,공공지원민간임대,2022850029,성산 삼정그린코아 웰레스트,03,공공지원민간임대,경상남도 창원시 성산구 안민동 614-2번지 일원(창원안민 공공지원 민간임대주택 공급촉진지구),51550,15668728,202502,2022850029,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2022850029&pblancNo=2022850029&houseSecd=03,2023-02-17,2023-02-08,0303,2023-02-13,2023-02-14,608
대방건설(주),2023-02-17,2023-02-17,http://www.detre-ep.co.kr,03,공공지원민간임대,2023850001,서울은평뉴타운 디에트르 더 퍼스트,03,공공지원민간임대,서울시 은평구 진관동 149-4 일원(은평뉴타운 3-14BL),03308,0319757988,202506,2023850001,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2023850001&pblancNo=2023850001&houseSecd=03,2023-02-14,2023-02-03,0303,2023-02-08,2023-02-09,94
가능생활권1구역 주택재개발정비사업조합,2023-02-06,2023-02-08,,03,민간임대,2023950002,의정부 롯데캐슬 골드포레,02,도시형/오피스텔/생활숙박시설/민간임대,경기도 의정부시 가능동 581-1,11620,0314724770,202302,2023950002,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2023950002&pblancNo=2023950002&houseSecd=02,2023-02-02,2023-01-25,0203,2023-01-30,2023-01-30,20
나이키빌,2023-02-14,2023-02-16,,01,도시형생활주택,2022950125,나이키빌,02,도시형/오피스텔/생활숙박시설/민간임대,"경기도 의정부시 시민로 142(의정부동, 나이키빌)",11697,15335807,202303,2022950125,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2022950125&pblancNo=2022950125&houseSecd=02,2023-02-02,2023-01-20,0201,2023-01-30,2023-01-30,107
코리아신탁(주),2023-02-01,2023-02-01,https://www.구의역에떼르넬.com,02,오피스텔,2023950003,구의역에떼르넬비욘드,02,도시형/오피스텔/생활숙박시설/민간임대,"서울특별시 광진구 구의동 246-38,39,98번지",05044,15334948,202407,2023950003,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2023950003&pblancNo=2023950003&houseSecd=02,2023-01-31,2023-01-16,0202,2023-01-25,2023-01-26,75
코리아신탁(주),2023-02-01,2023-02-01,https://www.jamsilbeyond.co.kr,02,오피스텔,2023950001,잠실에떼르넬비욘드,02,도시형/오피스텔/생활숙박시설/민간임대,서울특별시 송파구 방이동 34-1번지,05542,15334948,202404,2023950001,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2023950001&pblancNo=2023950001&houseSecd=02,2023-01-31,2023-01-16,0202,2023-01-25,2023-01-26,20
대방건설(주),2023-01-13,2023-01-13,http://www.detre-ep.co.kr/,03,공공지원민간임대,2022850028,서울은평뉴타운 디에트르 더 퍼스트,03,공공지원민간임대,서울특별시 은평구 진관동 149-4 일원(은평뉴타운 3-14BL),03308,16883800,202506,2022850028,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2022850028&pblancNo=2022850028&houseSecd=03,2023-01-10,2022-12-30,0303,2023-01-04,2023-01-05,80
남산4-4지구주택재개발정비사업조합,2023-01-18,2023-01-20,,03,민간임대,2022950127,남산자이하늘채 민간임대주택,02,도시형/오피스텔/생활숙박시설/민간임대,"대구광역시 중구 명덕로 33, 112동(남산동, 남산자이하늘채)",41973,0532524357,202301,2022950127,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2022950127&pblancNo=2022950127&houseSecd=02,2023-01-17,2022-12-29,0203,2023-01-09,2023-01-10,12
부개서초교북측구역주택재개발정비사업조합,2023-01-10,2023-01-11,http://www.bp-skh.co.kr,03,민간임대,2022950126,부평 SK VIEW 해모로,02,도시형/오피스텔/생활숙박시설/민간임대,"인천광역시 부평구 동수천로 71(부평동, 부평 SK VIEW 해모로 아파트)",21400,15665807,202301,2022950126,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2022950126&pblancNo=2022950126&houseSecd=02,2023-01-09,2022-12-29,0203,2023-01-03,2023-01-04,63
(주)무궁화신탁,2023-01-12,2023-01-14,http://www.ratiforest.com,02,오피스텔,2022950124,가산 라티 포레스트,02,도시형/오피스텔/생활숙박시설/민간임대,서울특별시 구로구 가리봉동 127-9 외 1필지,08387,0234560000,202409,2022950124,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2022950124&pblancNo=2022950124&houseSecd=02,2023-01-10,2022-12-29,0202,2023-01-03,2023-01-05,70
(주)계룡하나제2호위탁관리부동산투자회사,2023-01-14,2023-01-16,http://www.학하리슈빌포레.com,03,공공지원민간임대,2022850026,대전 학하리슈빌포레 공공지원 민간임대,03,공공지원민간임대,대전광역시 유성구 학하동 787번지,34213,0428229577,202302,2022850026,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2022850026&pblancNo=2022850026&houseSecd=03,2023-01-06,2022-12-29,0303,2023-01-03,2023-01-03,116
대신자산신탁 주식회사,2022-12-28,2022-12-31,https://www.elife.co.kr/Posm_list01.action?commonMap.CD_BIZ_LND=220158,02,오피스텔,2022950121,e편한세상 시티 평택고덕,02,도시형/오피스텔/생활숙박시설/민간임대,경기도 평택시 장당동 71-13번지 일원,17784,0316112256,202607,2022950121,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2022950121&pblancNo=2022950121&houseSecd=02,2022-12-26,2022-12-15,0202,2022-12-20,2022-12-21,762
달서구제07구역주택재개발정비사업조합,2022-12-28,2022-12-29,,03,민간임대,2022950122,대구 두류파크 KCC스위첸,02,도시형/오피스텔/생활숙박시설/민간임대,대구광역시 달서구 두류동 803-44번지 일원(두류파크 KCC스위첸),42668,0536293843,202301,2022950122,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2022950122&pblancNo=2022950122&houseSecd=02,2022-12-23,2022-12-12,0203,2022-12-19,2022-12-20,35
상록주택재개발정비사업조합,2022-12-21,2022-12-23,,03,민간임대,2022950123,교대역 하늘채 뉴센트원,02,도시형/오피스텔/생활숙박시설/민간임대,"대구광역시 남구 중앙대로 187, 108동(대명동, 교대역하늘채뉴센트원)",42416,0536523232,202212,2022950123,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2022950123&pblancNo=2022950123&houseSecd=02,2022-12-20,2022-12-09,0203,2022-12-14,2022-12-14,12
한국자산신탁(주),2022-12-09,2022-12-09,http://www.hillstatebuldangtheone.com,02,오피스텔,2022950116,힐스테이트 불당 더원,02,도시형/오피스텔/생활숙박시설/민간임대,충청남도 천안시 서북구 불당동 1478번지,31163,18994123,202708,2022950116,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2022950116&pblancNo=2022950116&houseSecd=02,2022-12-08,2022-11-30,0202,2022-12-05,2022-12-05,730
산곡2의1 주택재개발정비사업조합,2022-12-08,2022-12-10,,03,민간임대,2022950120,부평 신일해피트리 더루츠(민간임대),02,도시형/오피스텔/생활숙박시설/민간임대,인천광역시 부평구 산곡로 31,21367,15775163,202212,2022950120,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2022950120&pblancNo=2022950120&houseSecd=02,2022-12-07,2022-11-25,0203,2022-11-30,2022-12-02,51
주식회사 하나자산신탁,2022-12-08,2022-12-08,https://newmad.co.kr/,02,오피스텔,2022950119,마포 뉴매드,02,도시형/오피스텔/생활숙박시설/민간임대,서울특별시 마포구 마포동 195-1외 36필지,04175,15334003,202503,2022950119,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2022950119&pblancNo=2022950119&houseSecd=02,2022-12-07,2022-11-25,0202,2022-11-30,2022-12-01,19
남산4-4지구주택재개발정비사업조합,2022-12-08,2022-12-10,,03,민간임대,2022950118,남산자이하늘채 민간임대주택,02,도시형/오피스텔/생활숙박시설/민간임대,"대구광역시 중구 명덕로 33, 112동 (남산동, 남산자이하늘채)",41973,0532524357,202212,2022950118,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2022950118&pblancNo=2022950118&houseSecd=02,2022-12-06,2022-11-24,0203,2022-11-29,2022-11-30,29
(주)무궁화신탁,2022-11-29,2022-11-29,,02,오피스텔,2022950117,소담캐슬 오피스텔,02,도시형/오피스텔/생활숙박시설/민간임대,세종특별자치시 소담동 559,30148,0234560000,202403,2022950117,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2022950117&pblancNo=2022950117&houseSecd=02,2022-11-28,2022-11-18,0202,2022-11-23,2022-11-23,81
산곡2-2주택재개발정비사업조합,2022-11-24,2022-11-26,,03,민간임대,2022950114,쌍용 더 플레티넘 부평(민간임대),02,도시형/오피스텔/생활숙박시설/민간임대,"인천광역시 부평구 원적로287번길 25(산곡동, 쌍용더플래티넘부평) 106동",21368,15775163,202212,2022950114,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2022950114&pblancNo=2022950114&houseSecd=02,2022-11-23,2022-11-11,0203,2022-11-16,2022-11-18,34
(주)시티주택건설,2022-11-28,2022-11-30,http://www.북수원시티프라디움.com,02,오피스텔,2022950111,북수원 시티프라디움 더 블리스,02,도시형/오피스텔/생활숙박시설/민간임대,경기도 수원시 장안구 천천동 81-1번지 일원(이목지구 D1블록),16336,0318988896,202602,2022950111,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2022950111&pblancNo=2022950111&houseSecd=02,2022-11-25,2022-11-11,0202,2022-11-21,2022-11-21,480
대방건설(주),2022-11-25,2022-11-25,http://www.detre-ep.co.kr,03,공공지원민간임대,2022850024,서울은평뉴타운 디에트르 더 퍼스트,03,공공지원민간임대,서울특별시 은평구 진관동 149-4 일원(은평뉴타운 3-14BL),03308,16883800,202506,2022850024,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2022850024&pblancNo=2022850024&houseSecd=03,2022-11-22,2022-11-09,0303,2022-11-16,2022-11-17,75
소미골드라인Ⅱ,2022-11-20,2022-11-22,https://somigoldline.com,02,오피스텔,2022950112,소미골드라인Ⅱ,02,도시형/오피스텔/생활숙박시설/민간임대,서울특별시 중구 마장로18길 30(황학동),04575,027234422,202211,2022950112,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2022950112&pblancNo=2022950112&houseSecd=02,2022-11-18,2022-11-07,0202,2022-11-14,2022-11-15,28
(주)대한씨앤디,2022-11-16,2022-11-17,http://prugio-theocean.com,02,오피스텔,2022950113,시화MTV 푸르지오 디오션,02,도시형/오피스텔/생활숙박시설/민간임대,경기도 시흥시 정왕동 일반 2715,15119,0314973300,202605,2022950113,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2022950113&pblancNo=2022950113&houseSecd=02,2022-11-15,2022-11-04,0202,2022-11-09,2022-11-10,584
목동3 재정비촉진구역주택재개발정비사업조합,2022-11-10,2022-11-13,,03,민간임대,2022950109,목동 더샵 리슈빌 민간임대주택,02,도시형/오피스텔/생활숙박시설/민간임대,"대전광역시 중구 목동 1-95, 101동 (목동 더샵 리슈빌) ",34847,0423354880,202211,2022950109,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2022950109&pblancNo=2022950109&houseSecd=02,2022-11-08,2022-10-28,0203,2022-11-02,2022-11-02,40
코리아신탁(주),2022-11-04,2022-11-04,http://www.jamsilbeyond.co.kr,02,오피스텔,2022950110,잠실에떼르넬비욘드,02,도시형/오피스텔/생활숙박시설/민간임대,서울시 송파구 방이동 34-1,05542,15334948,202404,2022950110,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2022950110&pblancNo=2022950110&houseSecd=02,2022-11-03,2022-10-26,0202,2022-10-31,2022-10-31,21
원트웬티파이브피에프브이 주식회사,2022-11-04,2022-11-06,https://www.acro.co.kr/,02,오피스텔,2022950099,아크로 여의도 더원,02,도시형/오피스텔/생활숙박시설/민간임대,서울특별시 영등포구 여의도동 25-11,07327,15332521,202612,2022950099,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2022950099&pblancNo=2022950099&houseSecd=02,2022-11-03,2022-10-26,0202,2022-10-31,2022-10-31,492
(주)한신대한제1호위탁관리부동산투자회사,2022-11-11,2022-11-15,http://up-thehue.com/,03,공공지원민간임대,2022850022,인천 검단신도시 AB5BL 한신더휴 어반파크,03,공공지원민간임대,인천광역시 서구 당하동 검단신도시 택지개발지구 AB5블록,22871,025280451,202303,2022850022,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2022850022&pblancNo=2022850022&houseSecd=03,2022-11-01,2022-10-21,0303,2022-10-26,2022-10-27,642
모인파크주식회사,2022-11-07,2022-11-11,http://is-sclass.com/,03,민간임대,2022950106,익산 중흥S-클래스 퍼스트파크 (민간임대),02,도시형/오피스텔/생활숙박시설/민간임대,전라북도 익산시 모현동2가 1-5번지 외 50필지,54651,0638589020,202509,2022950106,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2022950106&pblancNo=2022950106&houseSecd=02,2022-10-24,2022-10-14,0203,2022-10-19,2022-10-19,31
능곡1구역주택재개발정비사업조합,2022-10-21,2022-10-24,,03,민간임대,2022950108,대곡역 두산위브,02,도시형/오피스텔/생활숙박시설/민간임대,"경기도 고양시 덕양구 호수로16번길 7,대곡역두산위브 202동",10508,0269490441,202210,2022950108,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2022950108&pblancNo=2022950108&houseSecd=02,2022-10-20,2022-10-12,0203,2022-10-17,2022-10-17,57
덕진종합건설(주),2022-10-25,2022-10-27,,03,민간임대,2022950105,덕진 광양의 봄 선샤인 민간임대아파트,02,도시형/오피스텔/생활숙박시설/민간임대,전라남도 광양시 광양읍 용강리 산4-72번지 일원,57746,0552686100,202512,2022950105,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2022950105&pblancNo=2022950105&houseSecd=02,2022-10-24,2022-10-11,0203,2022-10-17,2022-10-19,94
신영부동산신탁 주식회사,2022-10-20,2022-10-20,http://www.bachhousetj.co.kr/,02,오피스텔,2022950095,탕정역 한샘바흐하우스 오피스텔,02,도시형/오피스텔/생활숙박시설/민간임대,충청남도 아산시 탕정면 매곡리 1205번지,31465,0265267800,202501,2022950095,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2022950095&pblancNo=2022950095&houseSecd=02,2022-10-19,2022-10-07,0202,2022-10-12,2022-10-13,73
대방건설(주),2022-10-21,2022-10-21,http://www.detre-ep.co.kr/,03,공공지원민간임대,2022850023,서울은평뉴타운 디에트르 더 퍼스트,03,공공지원민간임대,서울특별시 은평구 진관동 149-4 일원(은평뉴타운 3-14BL),03308,16883800,202506,2022850023,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2022850023&pblancNo=2022850023&houseSecd=03,2022-10-18,2022-10-07,0303,2022-10-12,2022-10-13,89
(주)우미케이원제10호위탁관리부동산투자회사,2022-11-07,2022-11-10,https://pj2.lynn.co.kr,03,공공지원민간임대,2022850021,파주 운정신도시 A31블록 우미린 센터포레,03,공공지원민간임대,경기도 파주시 동패동 파주운정3지구 A31BL,10888,0319424400,202302,2022850021,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2022850021&pblancNo=2022850021&houseSecd=03,2022-10-20,2022-10-07,0303,2022-10-12,2022-10-13,386
신영부동산신탁 주식회사,2022-10-21,2022-10-23,https://innercia.co.kr/,02,오피스텔,2022950103,이너시아 남산,02,도시형/오피스텔/생활숙박시설/민간임대,서울특별시 중구 삼일대로4길 9(충무로2가),04553,15333131,202506,2022950103,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2022950103&pblancNo=2022950103&houseSecd=02,2022-10-20,2022-10-05,0202,2022-10-12,2022-10-13,121
코리아신탁(주),2022-10-15,2022-10-16,http://lucevista-gimpo.com/,02,오피스텔,2022950100,고촌역 루체비스타,02,도시형/오피스텔/생활숙박시설/민간임대,경기도 김포시 고촌읍 신곡리 1064-1,10126,18999167,202307,2022950100,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2022950100&pblancNo=2022950100&houseSecd=02,2022-10-14,2022-10-05,0202,2022-10-11,2022-10-11,15
신영부동산신탁 주식회사,2022-10-18,2022-10-19,http://www.다산와이시티어반플랫.com,02,오피스텔,2022950104,다산 와이시티 어반플랫,02,도시형/오피스텔/생활숙박시설/민간임대,경기도 남양주시 다산동 668-1번지,12262,15336681,202404,2022950104,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2022950104&pblancNo=2022950104&houseSecd=02,2022-10-17,2022-10-04,0202,2022-10-11,2022-10-12,23
한국자산신탁(주),2022-10-08,2022-10-08,https://www.dlcon-apt.co.kr,02,오피스텔,2022950098,e편한세상 시티 청라(151-2),02,도시형/오피스텔/생활숙박시설/민간임대,인천광역시 서구 청라동 151-2,22760,0324261000,202505,2022950098,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2022950098&pblancNo=2022950098&houseSecd=02,2022-10-07,2022-09-29,0202,2022-10-04,2022-10-04,120
한국자산신탁(주),2022-10-08,2022-10-08,https://www.dlcon-apt.co.kr,02,오피스텔,2022950097,e편한세상 시티 청라(151-1),02,도시형/오피스텔/생활숙박시설/민간임대,인천광역시 서구 청라동 151-1(A블록),22760,0324261000,202505,2022950097,https://www.applyhome.co.kr/ai/aia/selectPRMOLttotPblancDetailView.do?houseManageNo=2022950097&pblancNo=2022950097&houseSecd=02,2022-10-07,2022-09-29,0202,2022-10-04,2022-10-04,120
